split,equation_name,feature_names,raw_expression,symbolic_expression,param_names,gt_params,numerical_expression,train_nmse,test_nmse,ood_nmse
chem_react,CRK7,t;A,-0.731770189531933*A(t)*exp(-0.731770189531933_s*t) + 0.731770189531933_w*cos(log(A(t) + 1)),-c0*A*exp(-c1*_s*t) + c2*_w*cos(log(A + c3)),c0;c1;c2;c3;_s;_w,7.317701895319330e-01;7.317701895319330e-01;7.317701895319330e-01;1.000000000000000e+00;1.115395810520259e-01;1.148366682601806e+00,-0.731770189531933*A*exp(-0.0816213403667534*t) + 0.840340504979681*cos(log(A + 1)),1.2446534136921263e-12,1.3900474623658433e-12,6.181256687530365e-11
chem_react,CRK8,t;A,-0.6789593965981179*A(t)**2 - 0.6789593965981179*A(t) + 0.6789593965981179_t*sin(log(A(t) + 1)),-c0*A**c1 - c2*A + c3*_t*sin(log(A + c4)),c0;c1;c2;c3;c4;_t,6.789593965981179e-01;2.000000000000000e+00;6.789593965981179e-01;6.789593965981179e-01;1.000000000000000e+00;2.416488906253854e-01,-0.6789593965981179*A**2 - 0.6789593965981179*A + 0.1640697849676163*sin(log(A + 1)),8.708542890168462e-13,6.687996170463695e-13,0.057619295610680334
chem_react,CRK9,t;A,-0.2596955894017505*sqrt(A(t)) + 0.2596955894017505_w*cos(log(A(t) + 1)),-c0*sqrt(A) + c1*_w*cos(log(A + c2)),c0;c1;c2;_w,2.596955894017505e-01;2.596955894017505e-01;1.000000000000000e+00;3.512949976548061e+00,-0.2596955894017505*sqrt(A) + 0.9122976146985144*cos(log(A + 1)),1.3432747331719344e-13,1.3855723036549087e-13,2.7737440453940746e-08
chem_react,CRK10,t;A,-0.17495597007573369*A(t)**2 + 0.17495597007573369_t*sin(log(A(t) + 1)),-c0*A**c1 + c2*_t*sin(log(A + c3)),c0;c1;c2;c3;_t,1.749559700757337e-01;2.000000000000000e+00;1.749559700757337e-01;1.000000000000000e+00;3.379845758334442e+00,-0.17495597007573369*A**2 + 0.59132419335575606*sin(log(A + 1)),1.7279751660505455e-13,2.0582195967423538e-13,2.187419828220285e-08
chem_react,CRK11,t;A,-0.8817392153705143*A(t)**2 + 0.8817392153705143_m*sin(sqrt(A(t))),-c0*A**c1 + c2*_m*sin(sqrt(A)),c0;c1;c2;_m,8.817392153705143e-01;2.000000000000000e+00;8.817392153705143e-01;6.787368029049585e-01,-0.8817392153705143*A**2 + 0.5984688560365095*sin(sqrt(A)),3.329064365527996e-13,4.939864353537124e-13,4.991584476963062e-09
chem_react,CRK12,t;A,-0.4536905040809732*A(t)*exp(-0.4536905040809732_s*t) + 0.4536905040809732_t*sin(log(A(t) + 1)),-c0*A*exp(-c1*_s*t) + c2*_t*sin(log(A + c3)),c0;c1;c2;c3;_s;_t,4.536905040809732e-01;4.536905040809732e-01;4.536905040809732e-01;1.000000000000000e+00;1.865253494767138e-01;1.660843136662247e+00,-0.4536905040809732*A*exp(-0.08462477982796999*t) + 0.7535087598717195*sin(log(A + 1)),1.2810463585779746e-13,1.0297491552277504e-13,3.1749820606889626e-12
chem_react,CRK13,t;A,-0.23236613283613416*A(t) + 0.23236613283613416_p*sin(0.5265654762365851*A(t)),-c0*A + c1*_p*sin(c2*A),c0;c1;c2;_p,2.323661328361342e-01;2.323661328361342e-01;5.265654762365851e-01;1.703675335212177e+00,-0.23236613283613416*A + 0.395876449251558*sin(0.5265654762365851*A),7.27524855855664e-15,7.045590265116392e-15,5.423887127130967e-13
chem_react,CRK14,t;A,-0.1286242133366486*sqrt(A(t)) - 0.1286242133366486*A(t)*exp(-0.1286242133366486_s*t) + 0.1286242133366486_p*sin(0.5829315813885992*A(t)),-c0*sqrt(A) - c1*A*exp(-c2*_s*t) + c3*_p*sin(c4*A),c0;c1;c2;c3;c4;_p;_s,1.286242133366486e-01;1.286242133366486e-01;1.286242133366486e-01;1.286242133366486e-01;5.829315813885992e-01;3.027614145061079e+00;4.616889516932920e-01,-0.1286242133366486*sqrt(A) - 0.1286242133366486*A*exp(-0.05938437821777165*t) + 0.3894244876953911*sin(0.5829315813885992*A),1.8791734193321552e-14,1.9876252919144634e-14,5.1144575417793904e-11
chem_react,CRK15,t;A,-0.12072034430887377*sqrt(A(t)) - 0.12072034430887377*A(t)*exp(-0.12072034430887377_s*t) + 0.12072034430887377_t*sin(log(A(t) + 1)),-c0*sqrt(A) - c1*A*exp(-c2*_s*t) + c3*_t*sin(log(A + c4)),c0;c1;c2;c3;c4;_s;_t,1.207203443088738e-01;1.207203443088738e-01;1.207203443088738e-01;1.207203443088738e-01;1.000000000000000e+00;5.684464319557769e-01;7.072061591230355e+00,-0.12072034430887377*sqrt(A) - 0.12072034430887377*A*exp(-0.068623048986852177*t) + 0.85374171026689017*sin(log(A + 1)),4.5030150026372185e-14,3.884926216458625e-14,2.6303499669646194e-11
chem_react,CRK16,t;A,-0.24581249010242617*A(t) + 0.24581249010242617_f*A(t)**0.333333333333333,-c0*A + c1*_f*A**c2,c0;c1;c2;_f,2.458124901024262e-01;2.458124901024262e-01;3.333333333333330e-01;3.949878418249270e+00,0.9709294495916855*A**0.333333333333333 - 0.24581249010242617*A,1.112385399052884e-14,1.1919261628161326e-14,2.8336909498605887e-07
chem_react,CRK17,t;A,-0.6750544468008356*A(t)*exp(-0.6750544468008356_s*t) + 0.6750544468008356_f*A(t)**0.333333333333333,-c0*A*exp(-c1*_s*t) + c2*_f*A**c3,c0;c1;c2;c3;_f;_s,6.750544468008356e-01;6.750544468008356e-01;6.750544468008356e-01;3.333333333333330e-01;3.088200091034170e-01;1.160102369308713e-01,0.2084703204063362*A**0.333333333333333 - 0.6750544468008356*A*exp(-0.0783132263146032*t),4.100504850702811e-15,4.1761153376086255e-15,5.626032517222051e-13
chem_react,CRK18,t;A,-0.5637231318832533*A(t)**2 + 0.5637231318832533_p*sin(0.7616913890711074*A(t)),-c0*A**c1 + c2*_p*sin(c3*A),c0;c1;c2;c3;_p,5.637231318832533e-01;2.000000000000000e+00;5.637231318832533e-01;7.616913890711074e-01;2.330552655486223e-01,-0.5637231318832533*A**2 + 0.1313786441969526*sin(0.7616913890711074*A),4.2931995499163986e-15,2.880235968669765e-15,2.333576045164885e-09
chem_react,CRK19,t;A,-0.16497856808125827*A(t)**2 - 0.16497856808125827*A(t)*exp(-0.16497856808125827_s*t) + 0.16497856808125827_t*sin(log(A(t) + 1)),-c0*A**c1 - c2*A*exp(-c3*_s*t) + c4*_t*sin(log(A + c5)),c0;c1;c2;c3;c4;c5;_s;_t,1.649785680812583e-01;2.000000000000000e+00;1.649785680812583e-01;1.649785680812583e-01;1.649785680812583e-01;1.000000000000000e+00;7.733565299985035e-02;3.762960693496856e+00,-0.16497856808125827*A**2 - 0.16497856808125827*A*exp(-0.012758725293544376*t) + 0.6208078669591699*sin(log(A + 1)),1.6089020904466138e-12,1.5131261319091588e-12,6.868982084530217e-09
chem_react,CRK20,t;A,-0.3122128845632889*A(t)*exp(-0.3122128845632889_s*t) + 0.3122128845632889_p*sin(0.8721876285304352*A(t)),-c0*A*exp(-c1*_s*t) + c2*_p*sin(c3*A),c0;c1;c2;c3;_p;_s,3.122128845632889e-01;3.122128845632889e-01;3.122128845632889e-01;8.721876285304352e-01;1.510917965781679e+00;2.557230104389985e-01,-0.3122128845632889*A*exp(-0.07984001873836775*t) + 0.4717280564351947*sin(0.8721876285304352*A),3.2529058074594853e-13,3.26179993369724e-13,1.2957666211682987e-08
chem_react,CRK21,t;A,-0.9112380846295999*A(t)*exp(-0.9112380846295999_s*t) + 0.9112380846295999_q*A(t)*log(0.4381050266935539*t + 1),-c0*A*exp(-c1*_s*t) + c2*_q*A*log(c3*t + c4),c0;c1;c2;c3;c4;_q;_s,9.112380846295999e-01;9.112380846295999e-01;9.112380846295999e-01;4.381050266935539e-01;1.000000000000000e+00;9.679254810869582e-02;9.768051501163888e-02,0.08820105614498638*A*log(0.4381050266935539*t + 1) - 0.9112380846295999*A*exp(-0.08901020540483869*t),1.4035795923027616e-15,1.3675488187901764e-15,6.694595297259064e-15
